Key;Tracker;Status;Priority;Owner;Filepath;Subject;Category;Estimated time [min];Start date;End date;Time spent [min];Description;Caratteristica di riferimento;Commit hash
AYqiD0Jq882CViJqbmaA;To-Do;New;Normal;Claudia Stefanizzi;CiEmmeModelli_CiEmme:container/spi/src/main/java/org/jboss/arquillian/container/spi/client/deployment/DeploymentScenario.java;"java:S1158:  ""Call the static method Integer.compare(...) instead of instantiating a temporary object.""";MINOR;5;2023-10-07;2023-10-07;3;"startLine: 90;startOffset: 23;endOffset: 108;endLine: 90";Maintenance (Code Smells);5dcd325
AYqiD0Jq882CViJqbmaB;To-Do;New;Normal;Claudia Stefanizzi;CiEmmeModelli_CiEmme:container/spi/src/main/java/org/jboss/arquillian/container/spi/client/deployment/DeploymentScenario.java;"java:S2129:  ""Remove this Integer constructor""";MAJOR;5;2023-10-07;2023-10-07;1;"startLine: 90;startOffset: 27;endOffset: 34;endLine: 90";Maintenance (Code Smells);8418cf8
AYqiD0Jq882CViJqbmaC;To-Do;New;Normal;Claudia Stefanizzi;CiEmmeModelli_CiEmme:container/spi/src/main/java/org/jboss/arquillian/container/spi/client/deployment/DeploymentScenario.java;"java:S1158:  ""Call the static method Integer.compare(...) instead of instantiating a temporary object.""";MINOR;5;2023-10-07;2023-10-07;3;"startLine: 107;startOffset: 23;endOffset: 108;endLine: 107";Maintenance (Code Smells);6730af1
AYqiD0Jq882CViJqbmaD;To-Do;New;Normal;Claudia Stefanizzi;CiEmmeModelli_CiEmme:container/spi/src/main/java/org/jboss/arquillian/container/spi/client/deployment/DeploymentScenario.java;"java:S2129:  ""Remove this Integer constructor""";MAJOR;5;2023-10-07;2023-10-07;1;"startLine: 107;startOffset: 27;endOffset: 34;endLine: 107";Maintenance (Code Smells);16be085
AYqiD0Jq882CViJqbmaE;To-Do;New;Normal;Claudia Stefanizzi;CiEmmeModelli_CiEmme:container/spi/src/main/java/org/jboss/arquillian/container/spi/client/deployment/DeploymentScenario.java;"java:S1158:  ""Call the static method Integer.compare(...) instead of instantiating a temporary object.""";MINOR;5;2023-10-07;2023-10-07;3;"startLine: 135;startOffset: 23;endOffset: 108;endLine: 135";Maintenance (Code Smells);9f9dafd
AYqiD0Jq882CViJqbmaF;To-Do;New;Normal;Claudia Stefanizzi;CiEmmeModelli_CiEmme:container/spi/src/main/java/org/jboss/arquillian/container/spi/client/deployment/DeploymentScenario.java;"java:S2129:  ""Remove this Integer constructor""";MAJOR;5;2023-10-07;2023-10-07;1;"startLine: 135;startOffset: 27;endOffset: 34;endLine: 135";Maintenance (Code Smells);2da346b
AYqiD0Jq882CViJqbmaG;To-Do;New;Normal;Claudia Stefanizzi;CiEmmeModelli_CiEmme:container/spi/src/main/java/org/jboss/arquillian/container/spi/client/deployment/DeploymentScenario.java;"java:S1155:  ""Use isEmpty() to check whether the collection is empty or not.""";MINOR;2;2023-10-07;2023-10-07;2;"startLine: 259;startOffset: 12;endOffset: 32;endLine: 259";Maintenance (Code Smells);49b5596
AYqiD0Jq882CViJqbmZ-;To-Do;New;Normal;Claudia Stefanizzi;CiEmmeModelli_CiEmme:container/spi/src/main/java/org/jboss/arquillian/container/spi/client/deployment/DeploymentScenario.java;"java:S1066:  ""Merge this if statement with the enclosing one.""";MAJOR;5;2023-10-07;2023-10-07;2;"startLine: 286;startOffset: 16;endOffset: 18;endLine: 286";Maintenance (Code Smells);de55572
AYqiD0Jq882CViJqbmZ_;To-Do;New;Normal;Claudia Stefanizzi;CiEmmeModelli_CiEmme:container/spi/src/main/java/org/jboss/arquillian/container/spi/client/deployment/DeploymentScenario.java;"java:S1066:  ""Merge this if statement with the enclosing one.""";MAJOR;5;2023-10-07;2023-10-07;2;"startLine: 305;startOffset: 16;endOffset: 18;endLine: 305";Maintenance (Code Smells);d213a2b
