Key;Tracker;Status;Priority;Owner;Filepath;Subject;Category;Estimated time [min];Start date;End date;Time spent [min];Description;Caratteristica di riferimento;Commit hash
AYqiD0ai882CViJqbmet;To-Do;New;Normal;Matteo Scuro;CiEmmeModelli_CiEmme:junit/core/src/test/java/org/jboss/arquillian/junit/ClassWithArquillianClassAndMethodRuleWithTimeout.java;"java:S3577:  ""Rename class ClassWithArquillianClassAndMethodRuleWithTimeout to match the regular expression: '^((Test|IT)[a-zA-Z0-9_]+|[A-Z][a-zA-Z0-9_]*(Test|Tests|TestCase|IT|ITCase))$'""";MINOR;5;2023/10/28;2023/10/28;1;"startLine: 14;startOffset: 13;endOffset: 61;endLine: 14";Maintenance (Code Smells);0f4dd6f
AYqiD0ai882CViJqbmes;To-Do;New;Normal;Matteo Scuro;CiEmmeModelli_CiEmme:junit/core/src/test/java/org/jboss/arquillian/junit/ClassWithArquillianClassAndMethodRuleWithTimeout.java;"java:S2699:  ""Add at least one assertion to this test case.""";BLOCKER;10;2023/10/28;2023/10/28;1;"startLine: 42;startOffset: 16;endOffset: 31;endLine: 42";Maintenance (Code Smells);7767733
AYqiD0ai882CViJqbmeu;To-Do;New;Normal;Matteo Scuro;CiEmmeModelli_CiEmme:junit/core/src/test/java/org/jboss/arquillian/junit/ClassWithArquillianClassAndMethodRuleWithTimeout.java;"java:S2925:  ""Remove this use of Thread.sleep().""";MAJOR;20;2023/10/28;2023/10/28;10;"startLine: 44;startOffset: 15;endOffset: 20;endLine: 44";Maintenance (Code Smells);f8970a5
