Key;Tracker;Status;Priority;Owner;Filepath;Subject;Category;Estimated time [min];Start date;End date;Time spent [min];Description;Caratteristica di riferimento;Commit hash
AYqiD0C2882CViJqbmXx-1;To-Do;New;Normal;Matteo Scuro;CiEmmeModelli_CiEmme:container/test-impl-base/src/main/java/org/jboss/arquillian/container/test/impl/domain/ProtocolDefinition.java;"java:S112:  ""Define and throw a dedicated exception instead of using a generic one.""";MAJOR;20;2023/10/8;2023/10/8;2;;Maintenance (Code Smells);99fa712
AYqiD0C2882CViJqbmXx-2;To-Do;New;Normal;Matteo Scuro;CiEmmeModelli_CiEmme:container/test-impl-base/src/main/java/org/jboss/arquillian/container/test/impl/domain/ProtocolDefinition.java;Remove this unused import 'org.jboss.arquillian.container.test.impl.CustomException'.;Minor;2;2023/10/8;2023/10/8;0;;Maintenance (Code Smells);925bb81
AYqiD0C2882CViJqbmXx-3;To-Do;New;Normal;Matteo Scuro;CiEmmeModelli_CiEmme:container/test-impl-base/src/main/java/org/jboss/arquillian/container/test/impl/domain/ProtocolDefinition.java;Define and throw a dedicated exception instead of using a generic one.;MAJOR;20;2023/10/8;2023/10/8;2;;Maintenance (Code Smells);aeb5611
AYqiD0C2882CViJqbmXx-4;To-Do;New;Normal;Matteo Scuro;CiEmmeModelli_CiEmme:container/test-impl-base/src/main/java/org/jboss/arquillian/container/test/impl/domain/ProtocolDefinition.java;Remove the declaration of thrown exception 'java.lang.Exception', as it cannot be thrown from method's body;;5;2023/10/8;2023/10/8;1;;Maintenance (Code Smells);aeb5611
