Key;Tracker;Status;Priority;Owner;Filepath;Subject;Category;Estimated time [min];Start date;End date;Time spent [min];Description;Caratteristica di riferimento;Commit hash
AYqiD0Vb882CViJqbmdt;To-Do;New;Normal;Matteo Scuro;CiEmmeModelli_CiEmme:config/impl-base/src/main/java/org/jboss/arquillian/config/impl/extension/StringPropertyReplacer.java;"java:S1118:  ""Add a private constructor to hide the implicit public one.""";MAJOR;5;2023/10/4;2023/10/4;2;"startLine: 36;startOffset: 19;endOffset: 41;endLine: 36";Maintenance (Code Smells);91f348a
AYqiD0Vb882CViJqbmdu;To-Do;New;Normal;Matteo Scuro;CiEmmeModelli_CiEmme:config/impl-base/src/main/java/org/jboss/arquillian/config/impl/extension/StringPropertyReplacer.java;"java:S6213:  ""Rename this variable to not match a restricted identifier.""";MAJOR;5;2023/10/4;2023/10/4;2;"startLine: 92;startOffset: 39;endOffset: 42;endLine: 92";Maintenance (Code Smells);444ac7d
AYqiD0Vb882CViJqbmdr;To-Do;New;Normal;Matteo Scuro;CiEmmeModelli_CiEmme:config/impl-base/src/main/java/org/jboss/arquillian/config/impl/extension/StringPropertyReplacer.java;"java:S3516:  ""Refactor this method to not always return the same value.""";BLOCKER;4;2023/10/4;2023/10/4;1;"startLine: 125;startOffset: 26;endOffset: 43;endLine: 125";Maintenance (Code Smells);e9277f5
AYqiD0Vb882CViJqbmdv;To-Do;New;Normal;Matteo Scuro;CiEmmeModelli_CiEmme:config/impl-base/src/main/java/org/jboss/arquillian/config/impl/extension/StringPropertyReplacer.java;"java:S3776:  ""Refactor this method to reduce its Cognitive Complexity from 20 to the 15 allowed.""";CRITICAL;10;2023/10/4;2023/10/4;8;"startLine: 125;startOffset: 26;endOffset: 43;endLine: 125";Maintenance (Code Smells);17c55b6
AYqiD0Vb882CViJqbmds;To-Do;New;Normal;Matteo Scuro;CiEmmeModelli_CiEmme:config/impl-base/src/main/java/org/jboss/arquillian/config/impl/extension/StringPropertyReplacer.java;"java:S1149:  ""Replace the synchronized class StringBuffer by an unsynchronized one such as StringBuilder.""";MAJOR;20;2023/10/4;2023/10/4;11;"startLine: 127;startOffset: 8;endOffset: 20;endLine: 127";Maintenance (Code Smells);17c55b6
AYqiD0Vb882CViJqbmdq;To-Do;New;Normal;Matteo Scuro;CiEmmeModelli_CiEmme:config/impl-base/src/main/java/org/jboss/arquillian/config/impl/extension/StringPropertyReplacer.java;"java:S2589:  ""Remove this expression which always evaluates to true""";MAJOR;10;2023/10/4;2023/10/4;1;"startLine: 179;startOffset: 12;endOffset: 31;endLine: 179";Maintenance (Code Smells);17c55b6
AYqiD0Vb882CViJqbmdw;To-Do;New;Normal;Matteo Scuro;CiEmmeModelli_CiEmme:config/impl-base/src/main/java/org/jboss/arquillian/config/impl/extension/StringPropertyReplacer.java;"java:S1125:  ""Remove the unnecessary boolean literal.""";MINOR;5;2023/10/4;2023/10/4;1;"startLine: 179;startOffset: 26;endOffset: 31;endLine: 179";Maintenance (Code Smells);17c55b6
