Key;Tracker;Status;Priority;Owner;Filepath;Subject;Category;Estimated time [min];Start date;End date;Time spent [min];Description;Caratteristica di riferimento;Commit hash
AYqiD0Fx882CViJqbmZM;To-Do;New;Normal;Claudia Stefanizzi;CiEmmeModelli_CiEmme:container/impl-base/src/main/java/org/jboss/arquillian/container/impl/SecurityActions.java;"java:S112:  ""Define and throw a dedicated exception instead of using a generic one.""";MAJOR;20;05/10/2023;05/10/2023;5;"startLine: 77;startOffset: 26;endOffset: 42;endLine: 77";Maintenance (Code Smells);6f47b6b
AYqiD0Fx882CViJqbmZN;To-Do;New;Normal;Claudia Stefanizzi;CiEmmeModelli_CiEmme:container/impl-base/src/main/java/org/jboss/arquillian/container/impl/SecurityActions.java;"java:S112:  ""Define and throw a dedicated exception instead of using a generic one.""";MAJOR;20;05/10/2023;05/10/2023;5;"startLine: 87;startOffset: 22;endOffset: 38;endLine: 87";Maintenance (Code Smells);cc4b0f4
AYqiD0Fx882CViJqbmZO;To-Do;New;Normal;Claudia Stefanizzi;CiEmmeModelli_CiEmme:container/impl-base/src/main/java/org/jboss/arquillian/container/impl/SecurityActions.java;"java:S112:  ""Define and throw a dedicated exception instead of using a generic one.""";MAJOR;20;05/10/2023;05/10/2023;5;"startLine: 98;startOffset: 22;endOffset: 38;endLine: 98";Maintenance (Code Smells);bff0a5e
AYqiD0Fx882CViJqbmZP;To-Do;New;Normal;Claudia Stefanizzi;CiEmmeModelli_CiEmme:container/impl-base/src/main/java/org/jboss/arquillian/container/impl/SecurityActions.java;"java:S112:  ""Define and throw a dedicated exception instead of using a generic one.""";MAJOR;20;05/10/2023;05/10/2023;5;"startLine: 104;startOffset: 22;endOffset: 38;endLine: 104";Maintenance (Code Smells);1d17920
AYqiD0Fx882CViJqbmZQ;To-Do;New;Normal;Claudia Stefanizzi;CiEmmeModelli_CiEmme:container/impl-base/src/main/java/org/jboss/arquillian/container/impl/SecurityActions.java;"java:S112:  ""Define and throw a dedicated exception instead of using a generic one.""";MAJOR;20;05/10/2023;05/10/2023;5;"startLine: 146;startOffset: 22;endOffset: 38;endLine: 146";Maintenance (Code Smells);dd99a35
AYqiD0Fx882CViJqbmZR;To-Do;New;Normal;Claudia Stefanizzi;CiEmmeModelli_CiEmme:container/impl-base/src/main/java/org/jboss/arquillian/container/impl/SecurityActions.java;"java:S112:  ""Define and throw a dedicated exception instead of using a generic one.""";MAJOR;20;05/10/2023;05/10/2023;5;"startLine: 179;startOffset: 30;endOffset: 46;endLine: 179";Maintenance (Code Smells);e4e823d
AYqiD0Fx882CViJqbmZU;To-Do;New;Normal;Claudia Stefanizzi;CiEmmeModelli_CiEmme:container/impl-base/src/main/java/org/jboss/arquillian/container/impl/SecurityActions.java;"java:S1192:  ""Define a constant instead of duplicating this literal Obtained unchecked Exception; this code should never be reached 3 times.""";CRITICAL;8;05/10/2023;05/10/2023;3;"startLine: 179;startOffset: 47;endOffset: 112;endLine: 179";Maintenance (Code Smells);27220c0
AYqiD0Fx882CViJqbmZS;To-Do;New;Normal;Claudia Stefanizzi;CiEmmeModelli_CiEmme:container/impl-base/src/main/java/org/jboss/arquillian/container/impl/SecurityActions.java;"java:S112:  ""Define and throw a dedicated exception instead of using a generic one.""";MAJOR;20;05/10/2023;05/10/2023;5;"startLine: 223;startOffset: 30;endOffset: 46;endLine: 223";Maintenance (Code Smells);9fdc522
AYqiD0Fx882CViJqbmZV;To-Do;New;Normal;Claudia Stefanizzi;CiEmmeModelli_CiEmme:container/impl-base/src/main/java/org/jboss/arquillian/container/impl/SecurityActions.java;"java:S1488:  ""Immediately return this expression instead of assigning it to the temporary variable declaredAccessableFields.""";MINOR;2;05/10/2023;05/10/2023;5;"startLine: 231;startOffset: 47;endOffset: 10;endLine: 248";Maintenance (Code Smells);fb53b3e
AYqiD0Fx882CViJqbmZW;To-Do;New;Normal;Claudia Stefanizzi;CiEmmeModelli_CiEmme:container/impl-base/src/main/java/org/jboss/arquillian/container/impl/SecurityActions.java;"java:S1488:  ""Immediately return this expression instead of assigning it to the temporary variable declaredAccessableMethods.""";MINOR;2;05/10/2023;05/10/2023;2;"startLine: 254;startOffset: 49;endOffset: 10;endLine: 271";Maintenance (Code Smells);a4967b9
AYqiD0Fx882CViJqbmZX;To-Do;New;Normal;Claudia Stefanizzi;CiEmmeModelli_CiEmme:container/impl-base/src/main/java/org/jboss/arquillian/container/impl/SecurityActions.java;"java:S1488:  ""Immediately return this expression instead of assigning it to the temporary variable value.""";MINOR;2;05/10/2023;05/10/2023;2;"startLine: 277;startOffset: 27;endOffset: 14;endLine: 281";Maintenance (Code Smells);1ab8fce
AYqiD0Fx882CViJqbmZT;To-Do;New;Normal;Claudia Stefanizzi;CiEmmeModelli_CiEmme:container/impl-base/src/main/java/org/jboss/arquillian/container/impl/SecurityActions.java;"java:S112:  ""Define and throw a dedicated exception instead of using a generic one.""";MAJOR;20;05/10/2023;05/10/2023;5;"startLine: 302;startOffset: 30;endOffset: 46;endLine: 302";Maintenance (Code Smells);07364970395cb36b08e7c157b22eea2f815e2e4d
AYqiD0Fx882CViJqbmZY;To-Do;New;Normal;Claudia Stefanizzi;CiEmmeModelli_CiEmme:container/impl-base/src/main/java/org/jboss/arquillian/container/impl/SecurityActions.java;"java:S6548:  ""An Enum-based Singleton implementation was detected. Make sure the use of the Singleton pattern is required and an Enum-based implementation is the right one for the context.""";INFO;0;05/10/2023;05/10/2023;1;"startLine: 327;startOffset: 17;endOffset: 30;endLine: 327";Maintenance (Code Smells);1e13172
