Key;Tracker;Status;Priority;Owner;Filepath;Subject;Category;Estimated time [min];Start date;End date;Time spent [min];Description;Caratteristica di riferimento;Commit hash
AYqiDz8b882CViJqbmVD;To-Do;New;Normal;Matteo Scuro;CiEmmeModelli_CiEmme:testenrichers/cdi/src/main/java/org/jboss/arquillian/testenricher/cdi/SecurityActions.java;"java:S112:  ""Define and throw a dedicated exception instead of using a generic one.""";MAJOR;20;2023/10/30;2023/10/30;1;"startLine: 77;startOffset: 26;endOffset: 42;endLine: 77";Maintenance (Code Smells);a02f4b9
AYqiDz8b882CViJqbmVE;To-Do;New;Normal;Matteo Scuro;CiEmmeModelli_CiEmme:testenrichers/cdi/src/main/java/org/jboss/arquillian/testenricher/cdi/SecurityActions.java;"java:S112:  ""Define and throw a dedicated exception instead of using a generic one.""";MAJOR;20;2023/10/30;2023/10/30;1;"startLine: 87;startOffset: 22;endOffset: 38;endLine: 87";Maintenance (Code Smells);bc661e5
AYqiDz8b882CViJqbmVF;To-Do;New;Normal;Matteo Scuro;CiEmmeModelli_CiEmme:testenrichers/cdi/src/main/java/org/jboss/arquillian/testenricher/cdi/SecurityActions.java;"java:S112:  ""Define and throw a dedicated exception instead of using a generic one.""";MAJOR;20;2023/10/30;2023/10/30;1;"startLine: 98;startOffset: 22;endOffset: 38;endLine: 98";Maintenance (Code Smells);189589f
AYqiDz8b882CViJqbmVG;To-Do;New;Normal;Matteo Scuro;CiEmmeModelli_CiEmme:testenrichers/cdi/src/main/java/org/jboss/arquillian/testenricher/cdi/SecurityActions.java;"java:S112:  ""Define and throw a dedicated exception instead of using a generic one.""";MAJOR;20;2023/10/30;2023/10/30;1;"startLine: 104;startOffset: 22;endOffset: 38;endLine: 104";Maintenance (Code Smells);3ea82f7
AYqiDz8b882CViJqbmVH;To-Do;New;Normal;Matteo Scuro;CiEmmeModelli_CiEmme:testenrichers/cdi/src/main/java/org/jboss/arquillian/testenricher/cdi/SecurityActions.java;"java:S112:  ""Define and throw a dedicated exception instead of using a generic one.""";MAJOR;20;2023/10/30;2023/10/30;1;"startLine: 146;startOffset: 22;endOffset: 38;endLine: 146";Maintenance (Code Smells);9c8e122
AYqiDz8b882CViJqbmVI;To-Do;New;Normal;Matteo Scuro;CiEmmeModelli_CiEmme:testenrichers/cdi/src/main/java/org/jboss/arquillian/testenricher/cdi/SecurityActions.java;"java:S112:  ""Define and throw a dedicated exception instead of using a generic one.""";MAJOR;20;2023/10/30;2023/10/30;1;"startLine: 179;startOffset: 30;endOffset: 46;endLine: 179";Maintenance (Code Smells);aaf5f23
AYqiDz8b882CViJqbmVJ;To-Do;New;Normal;Matteo Scuro;CiEmmeModelli_CiEmme:testenrichers/cdi/src/main/java/org/jboss/arquillian/testenricher/cdi/SecurityActions.java;"java:S1192:  ""Define a constant instead of duplicating this literal Obtained unchecked Exception; this code should never be reached 3 times.""";CRITICAL;8;2023/10/30;2023/10/30;1;"startLine: 179;startOffset: 47;endOffset: 112;endLine: 179";Maintenance (Code Smells);99d3578
AYqiDz8b882CViJqbmVL;To-Do;New;Normal;Matteo Scuro;CiEmmeModelli_CiEmme:testenrichers/cdi/src/main/java/org/jboss/arquillian/testenricher/cdi/SecurityActions.java;"java:S112:  ""Define and throw a dedicated exception instead of using a generic one.""";MAJOR;20;2023/10/30;2023/10/30;1;"startLine: 223;startOffset: 30;endOffset: 46;endLine: 223";Maintenance (Code Smells);1ded28a
AYqiDz8b882CViJqbmVM;To-Do;New;Normal;Matteo Scuro;CiEmmeModelli_CiEmme:testenrichers/cdi/src/main/java/org/jboss/arquillian/testenricher/cdi/SecurityActions.java;"java:S1488:  ""Immediately return this expression instead of assigning it to the temporary variable declaredAccessableFields.""";MINOR;2;2023/10/30;2023/10/30;1;"startLine: 231;startOffset: 47;endOffset: 10;endLine: 248";Maintenance (Code Smells);1bb7e1e
AYqiDz8b882CViJqbmVN;To-Do;New;Normal;Matteo Scuro;CiEmmeModelli_CiEmme:testenrichers/cdi/src/main/java/org/jboss/arquillian/testenricher/cdi/SecurityActions.java;"java:S1488:  ""Immediately return this expression instead of assigning it to the temporary variable declaredAccessableMethods.""";MINOR;2;2023/10/30;2023/10/30;1;"startLine: 254;startOffset: 49;endOffset: 10;endLine: 271";Maintenance (Code Smells);5971f6c
