Key;Tracker;Status;Priority;Owner;Filepath;Subject;Category;Estimated time [min];Start date;End date;Time spent [min];Description;Caratteristica di riferimento;Commit hash
AYqiDz_1882CViJqbmWg;To-Do;New;Normal;Matteo Scuro;CiEmmeModelli_CiEmme:container/test-impl-base/src/main/java/org/jboss/arquillian/container/test/impl/client/deployment/DeploymentGenerator.java;"java:S1117:  ""Rename deployment which hides the field declared at line 62.""";MAJOR;5;2023/10/11;2023/10/11;1;"startLine: 81;startOffset: 39;endOffset: 49;endLine: 81";Maintenance (Code Smells);25d43cd
AYqiDz_1882CViJqbmWh;To-Do;New;Normal;Matteo Scuro;CiEmmeModelli_CiEmme:container/test-impl-base/src/main/java/org/jboss/arquillian/container/test/impl/client/deployment/DeploymentGenerator.java;"java:S1117:  ""Rename deployment which hides the field declared at line 62.""";MAJOR;5;2023/10/11;2023/10/11;1;"startLine: 105;startOffset: 24;endOffset: 34;endLine: 105";Maintenance (Code Smells);039cb7a
AYqiDz_1882CViJqbmWf;To-Do;New;Normal;Matteo Scuro;CiEmmeModelli_CiEmme:container/test-impl-base/src/main/java/org/jboss/arquillian/container/test/impl/client/deployment/DeploymentGenerator.java;"java:S1066:  ""Merge this if statement with the enclosing one.""";MAJOR;5;2023/10/11;2023/10/11;1;"startLine: 108;startOffset: 16;endOffset: 18;endLine: 108";Maintenance (Code Smells);6266ff0
AYqiDz_1882CViJqbmWi;To-Do;New;Normal;Matteo Scuro;CiEmmeModelli_CiEmme:container/test-impl-base/src/main/java/org/jboss/arquillian/container/test/impl/client/deployment/DeploymentGenerator.java;"java:S1117:  ""Rename deployment which hides the field declared at line 62.""";MAJOR;5;2023/10/11;2023/10/11;1;"startLine: 150;startOffset: 24;endOffset: 34;endLine: 150";Maintenance (Code Smells);b1afd67
AYqiDz_1882CViJqbmWj;To-Do;New;Normal;Matteo Scuro;CiEmmeModelli_CiEmme:container/test-impl-base/src/main/java/org/jboss/arquillian/container/test/impl/client/deployment/DeploymentGenerator.java;"java:S6202:  ""Replace this usage of ClassContainer.class.isInstance() with instanceof ClassContainer.""";MAJOR;5;2023/10/11;2023/10/11;1;"startLine: 174;startOffset: 20;endOffset: 71;endLine: 174";Maintenance (Code Smells);b7cb380
AYqiDz_1882CViJqbmWk;To-Do;New;Normal;Matteo Scuro;CiEmmeModelli_CiEmme:container/test-impl-base/src/main/java/org/jboss/arquillian/container/test/impl/client/deployment/DeploymentGenerator.java;"java:S1172:  ""Remove this unused method parameter deployment.""";MAJOR;5;2023/10/11;2023/10/11;1;"startLine: 205;startOffset: 73;endOffset: 83;endLine: 205";Maintenance (Code Smells);991b8a1
AYqiDz_1882CViJqbmWl;To-Do;New;Normal;Matteo Scuro;CiEmmeModelli_CiEmme:container/test-impl-base/src/main/java/org/jboss/arquillian/container/test/impl/client/deployment/DeploymentGenerator.java;"java:S1155:  ""Use isEmpty() to check whether the collection is empty or not.""";MINOR;2;2023/10/11;2023/10/11;1;"startLine: 237;startOffset: 12;endOffset: 46;endLine: 237";Maintenance (Code Smells);72f2bbf
