Key;Tracker;Status;Priority;Owner;Filepath;Subject;Category;Estimated time [min];Start date;End date;Time spent [min];Description;Caratteristica di riferimento;Commit hash
AYqiDz_s882CViJqbmWe;To-Do;New;Normal;Matteo Scuro;CiEmmeModelli_CiEmme:container/test-impl-base/src/main/java/org/jboss/arquillian/container/test/impl/client/deployment/AutomaticDeploymentScenarioGenerator.java;"java:S1161:  ""Add the @Override annotation above this method signature""";MAJOR;5;2023/10/10;2023/10/10;5;"startLine: 51;startOffset: 22;endOffset: 39;endLine: 51";Maintenance (Code Smells);42c05de
AYqiDz_s882CViJqbmWc;To-Do;New;Normal;Matteo Scuro;CiEmmeModelli_CiEmme:container/test-impl-base/src/main/java/org/jboss/arquillian/container/test/impl/client/deployment/AutomaticDeploymentScenarioGenerator.java;"java:S3740:  ""Provide the parametrized type for this generic.""";MAJOR;5;2023/10/10;2023/10/10;1;"startLine: 73;startOffset: 65;endOffset: 72;endLine: 73";Maintenance (Code Smells);4caef47
AYqiDz_s882CViJqbmWb;To-Do;New;Normal;Matteo Scuro;CiEmmeModelli_CiEmme:container/test-impl-base/src/main/java/org/jboss/arquillian/container/test/impl/client/deployment/AutomaticDeploymentScenarioGenerator.java;"java:S112:  ""Define and throw a dedicated exception instead of using a generic one.""";MAJOR;20;2023/10/10;2023/10/10;1;"startLine: 77;startOffset: 22;endOffset: 38;endLine: 77";Maintenance (Code Smells);8b5ac8a
AYqiDz_s882CViJqbmWd;To-Do;New;Normal;Matteo Scuro;CiEmmeModelli_CiEmme:container/test-impl-base/src/main/java/org/jboss/arquillian/container/test/impl/client/deployment/AutomaticDeploymentScenarioGenerator.java;"java:S1192:  ""Define a constant instead of duplicating this literal Method annotated with  3 times.""";CRITICAL;8;2023/10/10;2023/10/10;1;"startLine: 84;startOffset: 16;endOffset: 40;endLine: 84";Maintenance (Code Smells);c560daf
