Key;Tracker;Status;Priority;Owner;Filepath;Subject;Category;Estimated time [min];Start date;End date;Time spent [min];Description;Caratteristica di riferimento;Commit hash
AYqiD0Cl882CViJqbmXZ;To-Do;New;Normal;Claudia Stefanizzi;CiEmmeModelli_CiEmme:container/test-impl-base/src/main/java/org/jboss/arquillian/container/test/impl/RunModeUtils.java;"java:S1125:  ""Remove the unnecessary boolean literals.""";MINOR;5;2023-10-08;2023-10-08;3;"startLine: 49;startOffset: 67;endOffset: 72;endLine: 49";Maintenance (Code Smells);1db6250
AYqiD0Cl882CViJqbmXa;To-Do;New;Normal;Claudia Stefanizzi;CiEmmeModelli_CiEmme:container/test-impl-base/src/main/java/org/jboss/arquillian/container/test/impl/RunModeUtils.java;"java:S1125:  ""Remove the unnecessary boolean literal.""";MINOR;5;2023-10-08;2023-10-08;5;"startLine: 50;startOffset: 66;endOffset: 70;endLine: 50";Maintenance (Code Smells);7a52250
AYqiD0Cl882CViJqbmXb;To-Do;New;Normal;Claudia Stefanizzi;CiEmmeModelli_CiEmme:container/test-impl-base/src/main/java/org/jboss/arquillian/container/test/impl/RunModeUtils.java;"java:S1871:  ""This branch's code block is the same as the block for the branch on line 52.""";MAJOR;10;2023-10-08;2023-10-08;5;"startLine: 54;startOffset: 73;endOffset: 13;endLine: 56";Maintenance (Code Smells);8034862
AYqiD0Cl882CViJqbmXc;To-Do;New;Normal;Claudia Stefanizzi;CiEmmeModelli_CiEmme:container/test-impl-base/src/main/java/org/jboss/arquillian/container/test/impl/RunModeUtils.java;"java:S3776:  ""Refactor this method to reduce its Cognitive Complexity from 22 to the 15 allowed.""";CRITICAL;12;2023-10-08;2023-10-08;7;"startLine: 65;startOffset: 26;endOffset: 47;endLine: 65";Maintenance (Code Smells);534535c
AYqiD0Cl882CViJqbmXX;To-Do;New;Normal;Claudia Stefanizzi;CiEmmeModelli_CiEmme:container/test-impl-base/src/main/java/org/jboss/arquillian/container/test/impl/RunModeUtils.java;"java:S1066:  ""Merge this if statement with the enclosing one.""";MAJOR;5;2023-10-08;2023-10-08;4;"startLine: 71;startOffset: 16;endOffset: 18;endLine: 71";Maintenance (Code Smells);9a0268e
AYqiD0Cl882CViJqbmXY;To-Do;New;Normal;Claudia Stefanizzi;CiEmmeModelli_CiEmme:container/test-impl-base/src/main/java/org/jboss/arquillian/container/test/impl/RunModeUtils.java;"java:S2629:  ""Use the built-in formatting to construct this argument.""";MAJOR;5;2023-10-08;2023-10-08;5;"startLine: 82;startOffset: 32;endOffset: 103;endLine: 89";Maintenance (Code Smells);b7ea163
AYqiD0Cl882CViJqbmXd;To-Do;New;Normal;Claudia Stefanizzi;CiEmmeModelli_CiEmme:container/test-impl-base/src/main/java/org/jboss/arquillian/container/test/impl/RunModeUtils.java;"java:S1126:  ""Replace this if-then-else statement by a single return statement.""";MINOR;2;2023-10-08;2023-10-08;2;"startLine: 112;startOffset: 8;endOffset: 10;endLine: 112";Maintenance (Code Smells);2777d83
