Key;Tracker;Status;Priority;Owner;Filepath;Subject;Category;Estimated time [min];Start date;End date;Time spent [min];Description;Caratteristica di riferimento;Commit hash
AYqiD0F7882CViJqbmZe;To-Do;New;Normal;Claudia Stefanizzi;CiEmmeModelli_CiEmme:container/impl-base/src/main/java/org/jboss/arquillian/container/impl/MapObject.java;"java:S1118:  ""Add a private constructor to hide the implicit public one.""";MAJOR;5;2023/10/4;2023/10/4;2;"startLine: 35;startOffset: 13;endOffset: 22;endLine: 35";Maintenance (Code Smells);7ca1761
AYqiD0F7882CViJqbmZb;To-Do;New;Normal;Claudia Stefanizzi;CiEmmeModelli_CiEmme:container/impl-base/src/main/java/org/jboss/arquillian/container/impl/MapObject.java;"java:S1104:  ""Make log a static final constant or non-public and provide accessors if needed.""";MINOR;10;2023/10/4;2023/10/4;2;"startLine: 37;startOffset: 25;endOffset: 28;endLine: 37";Maintenance (Code Smells);95a0f3a
AYqiD0F7882CViJqbmZc;To-Do;New;Normal;Claudia Stefanizzi;CiEmmeModelli_CiEmme:container/impl-base/src/main/java/org/jboss/arquillian/container/impl/MapObject.java;"java:S1444:  ""Make this public static log field final""";MINOR;20;2023/10/4;2023/10/4;2;"startLine: 37;startOffset: 25;endOffset: 28;endLine: 37";Maintenance (Code Smells);6ea6c19
AYqiD0F7882CViJqbmZZ;To-Do;New;Normal;Claudia Stefanizzi;CiEmmeModelli_CiEmme:container/impl-base/src/main/java/org/jboss/arquillian/container/impl/MapObject.java;"java:S112:  ""Define and throw a dedicated exception instead of using a generic one.""";MAJOR;20;2023/10/4;2023/10/4;10;"startLine: 39;startOffset: 82;endOffset: 91;endLine: 39";Maintenance (Code Smells);70f4cfc
AYqiD0F7882CViJqbmZd;To-Do;New;Normal;Claudia Stefanizzi;CiEmmeModelli_CiEmme:container/impl-base/src/main/java/org/jboss/arquillian/container/impl/MapObject.java;"java:S2629:  ""Use the built-in formatting to construct this argument.""";MAJOR;5;2023/10/4;2023/10/4;4;"startLine: 63;startOffset: 16;endOffset: 61;endLine: 65";Maintenance (Code Smells);22e8e56
AYqiD0F7882CViJqbmZa;To-Do;New;Normal;Claudia Stefanizzi;CiEmmeModelli_CiEmme:container/impl-base/src/main/java/org/jboss/arquillian/container/impl/MapObject.java;"java:S112:  ""Define and throw a dedicated exception instead of using a generic one.""";MAJOR;20;2023/10/4;2023/10/4;5;"startLine: 76;startOffset: 22;endOffset: 38;endLine: 76";Maintenance (Code Smells);77f1bb8
AYqiD0F7882CViJqbmZf;To-Do;New;Normal;Claudia Stefanizzi;CiEmmeModelli_CiEmme:container/impl-base/src/main/java/org/jboss/arquillian/container/impl/MapObject.java;"java:S1135:  ""Complete the task associated to this TODO comment.""";INFO;0;2023/10/4;2023/10/4;1;"startLine: 95;startOffset: 0;endOffset: 82;endLine: 95";Maintenance (Code Smells);4f4264b
