Key;Tracker;Status;Priority;Owner;Filepath;Subject;Category;Estimated time [min];Start date;End date;Time spent [min];Description;Caratteristica di riferimento;Commit hash
AYqiD0Na882CViJqbmbA;To-Do;New;Normal;Matteo Scuro;CiEmmeModelli_CiEmme:test/impl-base/src/main/java/org/jboss/arquillian/test/impl/enricher/resource/ArquillianResourceTestEnricher.java;"java:S112:  ""Define and throw a dedicated exception instead of using a generic one.""";MAJOR;20;2023/10/29;2023/10/29;1;"startLine: 68;startOffset: 26;endOffset: 42;endLine: 68";Maintenance (Code Smells);de61d91
AYqiD0Na882CViJqbmbB;To-Do;New;Normal;Matteo Scuro;CiEmmeModelli_CiEmme:test/impl-base/src/main/java/org/jboss/arquillian/test/impl/enricher/resource/ArquillianResourceTestEnricher.java;"java:S112:  ""Define and throw a dedicated exception instead of using a generic one.""";MAJOR;20;2023/10/29;2023/10/29;1;"startLine: 76;startOffset: 26;endOffset: 42;endLine: 76";Maintenance (Code Smells);2d03184
AYqiD0Na882CViJqbmbD;To-Do;New;Normal;Matteo Scuro;CiEmmeModelli_CiEmme:test/impl-base/src/main/java/org/jboss/arquillian/test/impl/enricher/resource/ArquillianResourceTestEnricher.java;"java:S2629:  ""Use the built-in formatting to construct this argument.""";MAJOR;5;2023/10/29;2023/10/29;2;"startLine: 118;startOffset: 35;endOffset: 110;endLine: 118";Maintenance (Code Smells);091d4b2
AYqiD0Na882CViJqbmbC;To-Do;New;Normal;Matteo Scuro;CiEmmeModelli_CiEmme:test/impl-base/src/main/java/org/jboss/arquillian/test/impl/enricher/resource/ArquillianResourceTestEnricher.java;"java:S112:  ""Define and throw a dedicated exception instead of using a generic one.""";MAJOR;20;2023/10/29;2023/10/29;1;"startLine: 126;startOffset: 22;endOffset: 38;endLine: 126";Maintenance (Code Smells);ff59075
