Key;Tracker;Status;Priority;Owner;Filepath;Subject;Category;Estimated time [min];Start date;End date;Time spent [min];Description;Caratteristica di riferimento;Commit hash
AYqiD0Eg882CViJqbmYC;To-Do;New;Normal;Claudia Stefanizzi;CiEmmeModelli_CiEmme:container/impl-base/src/main/java/org/jboss/arquillian/container/impl/client/deployment/ArchiveDeploymentExporter.java;"java:S112:  ""Define and throw a dedicated exception instead of using a generic one.""";MAJOR;20;2023-10-06;2023-10-06;5;"startLine: 46;startOffset: 62;endOffset: 71;endLine: 46";Maintenance (Code Smells);f652664
AYqiD0Eg882CViJqbmYG;To-Do;New;Normal;Claudia Stefanizzi;CiEmmeModelli_CiEmme:container/impl-base/src/main/java/org/jboss/arquillian/container/impl/client/deployment/ArchiveDeploymentExporter.java;"java:S3776:  ""Refactor this method to reduce its Cognitive Complexity from 17 to the 15 allowed.""";CRITICAL;7;2023-10-06;2023-10-06;10;"startLine: 46;startOffset: 16;endOffset: 24;endLine: 46";Maintenance (Code Smells);4c94965
AYqiD0Eg882CViJqbmYD;To-Do;New;Normal;Claudia Stefanizzi;CiEmmeModelli_CiEmme:container/impl-base/src/main/java/org/jboss/arquillian/container/impl/client/deployment/ArchiveDeploymentExporter.java;"java:S2629:  ""Use the built-in formatting to construct this argument.""";MAJOR;5;2023-10-06;2023-10-06;2;"startLine: 64;startOffset: 28;endOffset: 111;endLine: 64";Maintenance (Code Smells);39ea180
AYqiD0Eg882CViJqbmYE;To-Do;New;Normal;Claudia Stefanizzi;CiEmmeModelli_CiEmme:container/impl-base/src/main/java/org/jboss/arquillian/container/impl/client/deployment/ArchiveDeploymentExporter.java;"java:S2629:  ""Use the built-in formatting to construct this argument.""";MAJOR;5;2023-10-06;2023-10-06;2;"startLine: 67;startOffset: 28;endOffset: 93;endLine: 67";Maintenance (Code Smells);5a16a1a
AYqiD0Eg882CViJqbmYF;To-Do;New;Normal;Claudia Stefanizzi;CiEmmeModelli_CiEmme:container/impl-base/src/main/java/org/jboss/arquillian/container/impl/client/deployment/ArchiveDeploymentExporter.java;"java:S5411:  ""Use a primitive boolean expression here.""";MINOR;5;2023-10-06;2023-10-06;5;"startLine: 81;startOffset: 16;endOffset: 30;endLine: 81";Maintenance (Code Smells);e575d8c
AYqiD0Eg882CViJqbmYH;To-Do;New;Normal;Claudia Stefanizzi;CiEmmeModelli_CiEmme:container/impl-base/src/main/java/org/jboss/arquillian/container/impl/client/deployment/ArchiveDeploymentExporter.java;"java:S1135:  ""Complete the task associated to this TODO comment.""";INFO;0;2023-10-06;2023-10-06;1;"startLine: 92;startOffset: 0;endOffset: 54;endLine: 92";Maintenance (Code Smells);621dd17
