Key;Tracker;Status;Priority;Owner;Filepath;Subject;Category;Estimated time [min];Start date;End date;Time spent [min];Description;Caratteristica di riferimento;Commit hash
AYqiDz3i882CViJqbmTd;To-Do;New;Normal;Matteo Scuro;CiEmmeModelli_CiEmme:core/api/src/main/resources/arquillian_1_0.xsd;"xml:S125:  ""Remove this commented out code.""";MAJOR;5;2023/10/27;2023/10/27;1;"startLine: 89;startOffset: 8;endOffset: 11;endLine: 91";Maintenance (Code Smells);7212f71
AYtwIN0FeOJm0L6o3n20;To-Do;New;Normal;Matteo Scuro;CiEmmeModelli_CiEmme:junit/core/src/main/java/org/jboss/arquillian/junit/ArquillianTestClassLifecycleManager.java;"java:S112:  ""Define and throw a dedicated exception instead of using a generic one.""";MAJOR;20;2023/10/27;2023/10/27;1;"startLine: 34;startOffset: 56;endOffset: 65;endLine: 34";Maintenance (Code Smells);917699c
AYtwIN0FeOJm0L6o3n20-1;To-Do;New;Normal;Matteo Scuro;CiEmmeModelli_CiEmme:protocols/servlet/src/main/java/org/jboss/arquillian/protocol/servlet/runner/ServletTestRunner.java;"javasecurity:S5135: ""Change this code to not deserialize user-controlled data.”";MAJOR;30;2023/10/27;2023/10/27;20;"startLine: 34;startOffset: 56;endOffset: 65;endLine: 34";Security (Vulnerabilities);409e83b
