Key;Tracker;Status;Priority;Owner;Filepath;Subject;Category;Estimated time [min];Start date;End date;Time spent [min];Description;Caratteristica di riferimento;Commit hash
AYqiD0V1882CViJqbmd2;To-Do;New;Normal;Claudia Stefanizzi;CiEmmeModelli_CiEmme:config/impl-base/src/main/java/org/jboss/arquillian/config/descriptor/impl/ContainerDefImpl.java;"java:S1192:  ""Define a constant instead of duplicating this literal dependencies 3 times.""";CRITICAL;8;01/10/23;01/10/23;2;"startLine: 111;startOffset: 30;endOffset: 44;endLine: 111";Maintenance (Code Smells);963e7fb
AYqiD0V1882CViJqbmd1;To-Do;New;Normal;Claudia Stefanizzi;CiEmmeModelli_CiEmme:config/impl-base/src/main/java/org/jboss/arquillian/config/descriptor/impl/ContainerDefImpl.java;"java:S1192:  ""Define a constant instead of duplicating this literal configuration 5 times.""";CRITICAL;12;01/10/23;01/10/23;2;"startLine: 132;startOffset: 30;endOffset: 45;endLine: 132";Maintenance (Code Smells);57ec50d
AYqiD0V1882CViJqbmd3;To-Do;New;Normal;Claudia Stefanizzi;CiEmmeModelli_CiEmme:config/impl-base/src/main/java/org/jboss/arquillian/config/descriptor/impl/ContainerDefImpl.java;"java:S1192:  ""Define a constant instead of duplicating this literal property@name= 4 times.""";CRITICAL;10;01/10/23;01/10/23;2;"startLine: 132;startOffset: 59;endOffset: 75;endLine: 132";Maintenance (Code Smells);ff200df
