Key;Tracker;Status;Priority;Owner;Filepath;Subject;Category;Estimated time [min];Start date;End date;Time spent [min];Description;Caratteristica di riferimento;Commit hash
AYqiD0C2882CViJqbmXw;To-Do;New;Normal;Matteo Scuro;CiEmmeModelli_CiEmme:container/test-impl-base/src/main/java/org/jboss/arquillian/container/test/impl/MapObject.java;"java:S1118:  ""Add a private constructor to hide the implicit public one.""";MAJOR;5;2023/10/8;2023/10/8;2;"startLine: 35;startOffset: 13;endOffset: 22;endLine: 35";Maintenance (Code Smells);5c4fa95
AYqiD0C2882CViJqbmXt;To-Do;New;Normal;Matteo Scuro;CiEmmeModelli_CiEmme:container/test-impl-base/src/main/java/org/jboss/arquillian/container/test/impl/MapObject.java;"java:S1104:  ""Make log a static final constant or non-public and provide accessors if needed.""";MINOR;10;2023/10/8;2023/10/8;1;"startLine: 37;startOffset: 25;endOffset: 28;endLine: 37";Maintenance (Code Smells);a0ddd4b
AYqiD0C2882CViJqbmXu;To-Do;New;Normal;Matteo Scuro;CiEmmeModelli_CiEmme:container/test-impl-base/src/main/java/org/jboss/arquillian/container/test/impl/MapObject.java;"java:S1444:  ""Make this public static log field final""";MINOR;20;2023/10/8;2023/10/8;0;"startLine: 37;startOffset: 25;endOffset: 28;endLine: 37";Maintenance (Code Smells);dd66c90
AYqiD0C2882CViJqbmXr;To-Do;New;Normal;Matteo Scuro;CiEmmeModelli_CiEmme:container/test-impl-base/src/main/java/org/jboss/arquillian/container/test/impl/MapObject.java;"java:S112:  ""Define and throw a dedicated exception instead of using a generic one.""";MAJOR;20;2023/10/8;2023/10/8;5;"startLine: 39;startOffset: 82;endOffset: 91;endLine: 39";Maintenance (Code Smells);b354201
AYqiD0C2882CViJqbmXv;To-Do;New;Normal;Matteo Scuro;CiEmmeModelli_CiEmme:container/test-impl-base/src/main/java/org/jboss/arquillian/container/test/impl/MapObject.java;"java:S2629:  ""Use the built-in formatting to construct this argument.""";MAJOR;5;2023/10/8;2023/10/8;2;"startLine: 63;startOffset: 16;endOffset: 61;endLine: 65";Maintenance (Code Smells);5730b58
AYqiD0C2882CViJqbmXs;To-Do;New;Normal;Matteo Scuro;CiEmmeModelli_CiEmme:container/test-impl-base/src/main/java/org/jboss/arquillian/container/test/impl/MapObject.java;"java:S112:  ""Define and throw a dedicated exception instead of using a generic one.""";MAJOR;20;2023/10/8;2023/10/8;2;"startLine: 76;startOffset: 22;endOffset: 38;endLine: 76";Maintenance (Code Smells);17c3fc5
AYqiD0C2882CViJqbmXx;To-Do;New;Normal;Matteo Scuro;CiEmmeModelli_CiEmme:container/test-impl-base/src/main/java/org/jboss/arquillian/container/test/impl/MapObject.java;"java:S1135:  ""Complete the task associated to this TODO comment.""";INFO;0;2023/10/8;2023/10/8;0;"startLine: 95;startOffset: 0;endOffset: 82;endLine: 95";Maintenance (Code Smells);dae72c0
