Key;Tracker;Status;Priority;Owner;Filepath;Subject;Category;Estimated time [min];Start date;End date;Time spent [min];Description;Caratteristica di riferimento;Commit hash
AYqiDz5a882CViJqbmTn;To-Do;New;Normal;Matteo Scuro;CiEmmeModelli_CiEmme:core/impl-base/src/main/java/org/jboss/arquillian/core/impl/loadable/JavaSPIExtensionLoader.java;"java:S2589:  ""Remove this expression which always evaluates to true""";MAJOR;10;2023/10/15;2023/10/15;1;"startLine: 110;startOffset: 24;endOffset: 40;endLine: 110";Maintenance (Code Smells);d7c8e56
AYqiDz5a882CViJqbmTi;To-Do;New;Normal;Matteo Scuro;CiEmmeModelli_CiEmme:core/impl-base/src/main/java/org/jboss/arquillian/core/impl/loadable/JavaSPIExtensionLoader.java;"java:S112:  ""Define and throw a dedicated exception instead of using a generic one.""";MAJOR;20;2023/10/15;2023/10/15;1;"startLine: 116;startOffset: 22;endOffset: 38;endLine: 116";Maintenance (Code Smells);2d3d543
AYqiDz5a882CViJqbmTo;To-Do;New;Normal;Matteo Scuro;CiEmmeModelli_CiEmme:core/impl-base/src/main/java/org/jboss/arquillian/core/impl/loadable/JavaSPIExtensionLoader.java;"java:S3776:  ""Refactor this method to reduce its Cognitive Complexity from 26 to the 15 allowed.""";CRITICAL;16;2023/10/15;2023/10/15;11;"startLine: 159;startOffset: 40;endOffset: 44;endLine: 159";Maintenance (Code Smells);18302e0
AYqiDz5a882CViJqbmTm;To-Do;New;Normal;Matteo Scuro;CiEmmeModelli_CiEmme:core/impl-base/src/main/java/org/jboss/arquillian/core/impl/loadable/JavaSPIExtensionLoader.java;"java:S2095:  ""Use try-with-resources or close this InputStream in a finally clause.""";BLOCKER;5;2023/10/15;2023/10/15;1;"startLine: 169;startOffset: 39;endOffset: 55;endLine: 169";Reliability (Bugs);48c723b
AYqiDz5a882CViJqbmTl;To-Do;New;Normal;Matteo Scuro;CiEmmeModelli_CiEmme:core/impl-base/src/main/java/org/jboss/arquillian/core/impl/loadable/JavaSPIExtensionLoader.java;"java:S1141:  ""Extract this nested try block into a separate method.""";MAJOR;20;2023/10/15;2023/10/15;0;"startLine: 179;startOffset: 28;endOffset: 31;endLine: 179";Maintenance (Code Smells);d7c8e56
AYqiDz5a882CViJqbmTj;To-Do;New;Normal;Matteo Scuro;CiEmmeModelli_CiEmme:core/impl-base/src/main/java/org/jboss/arquillian/core/impl/loadable/JavaSPIExtensionLoader.java;"java:S112:  ""Define and throw a dedicated exception instead of using a generic one.""";MAJOR;20;2023/10/15;2023/10/15;1;"startLine: 210;startOffset: 22;endOffset: 38;endLine: 210";Maintenance (Code Smells);d212243
AYqiDz5a882CViJqbmTp;To-Do;New;Normal;Matteo Scuro;CiEmmeModelli_CiEmme:core/impl-base/src/main/java/org/jboss/arquillian/core/impl/loadable/JavaSPIExtensionLoader.java;"java:S1172:  ""Remove this unused method parameter serviceType.""";MAJOR;5;2023/10/15;2023/10/15;2;"startLine: 225;startOffset: 48;endOffset: 59;endLine: 225";Maintenance (Code Smells);50ec79d
AYqiDz5a882CViJqbmTk;To-Do;New;Normal;Matteo Scuro;CiEmmeModelli_CiEmme:core/impl-base/src/main/java/org/jboss/arquillian/core/impl/loadable/JavaSPIExtensionLoader.java;"java:S112:  ""Define and throw a dedicated exception instead of using a generic one.""";MAJOR;20;2023/10/15;2023/10/15;1;"startLine: 254;startOffset: 22;endOffset: 38;endLine: 254";Maintenance (Code Smells);01d2b8f
