Key;Tracker;Status;Priority;Owner;Filepath;Subject;Category;Estimated time [min];Start date;End date;Time spent [min];Description;Caratteristica di riferimento;Commit hash
AYqiDz66882CViJqbmUi;To-Do;New;Normal;Claudia Stefanizzi;CiEmmeModelli_CiEmme:testenrichers/resource/src/main/java/org/jboss/arquillian/testenricher/resource/SecurityActions.java;"java:S112:  ""Define and throw a dedicated exception instead of using a generic one.""";MAJOR;20;2023-10-29;2023-10-29;5;"startLine: 77;startOffset: 26;endOffset: 42;endLine: 77";Maintenance (Code Smells);99252ae
AYqiDz66882CViJqbmUj;To-Do;New;Normal;Claudia Stefanizzi;CiEmmeModelli_CiEmme:testenrichers/resource/src/main/java/org/jboss/arquillian/testenricher/resource/SecurityActions.java;"java:S112:  ""Define and throw a dedicated exception instead of using a generic one.""";MAJOR;20;2023-10-29;2023-10-29;3;"startLine: 87;startOffset: 22;endOffset: 38;endLine: 87";Maintenance (Code Smells);4a82048
AYqiDz66882CViJqbmUk;To-Do;New;Normal;Claudia Stefanizzi;CiEmmeModelli_CiEmme:testenrichers/resource/src/main/java/org/jboss/arquillian/testenricher/resource/SecurityActions.java;"java:S112:  ""Define and throw a dedicated exception instead of using a generic one.""";MAJOR;20;2023-10-29;2023-10-29;4;"startLine: 98;startOffset: 22;endOffset: 38;endLine: 98";Maintenance (Code Smells);fe29210
AYqiDz66882CViJqbmUl;To-Do;New;Normal;Claudia Stefanizzi;CiEmmeModelli_CiEmme:testenrichers/resource/src/main/java/org/jboss/arquillian/testenricher/resource/SecurityActions.java;"java:S112:  ""Define and throw a dedicated exception instead of using a generic one.""";MAJOR;20;2023-10-29;2023-10-29;2;"startLine: 104;startOffset: 22;endOffset: 38;endLine: 104";Maintenance (Code Smells);03c9667
AYqiDz66882CViJqbmUm;To-Do;New;Normal;Claudia Stefanizzi;CiEmmeModelli_CiEmme:testenrichers/resource/src/main/java/org/jboss/arquillian/testenricher/resource/SecurityActions.java;"java:S112:  ""Define and throw a dedicated exception instead of using a generic one.""";MAJOR;20;2023-10-29;2023-10-29;3;"startLine: 146;startOffset: 22;endOffset: 38;endLine: 146";Maintenance (Code Smells);059285a
AYqiDz66882CViJqbmUn;To-Do;New;Normal;Claudia Stefanizzi;CiEmmeModelli_CiEmme:testenrichers/resource/src/main/java/org/jboss/arquillian/testenricher/resource/SecurityActions.java;"java:S112:  ""Define and throw a dedicated exception instead of using a generic one.""";MAJOR;20;2023-10-29;2023-10-29;3;"startLine: 179;startOffset: 30;endOffset: 46;endLine: 179";Maintenance (Code Smells);55ed1a0
AYqiDz66882CViJqbmUq;To-Do;New;Normal;Claudia Stefanizzi;CiEmmeModelli_CiEmme:testenrichers/resource/src/main/java/org/jboss/arquillian/testenricher/resource/SecurityActions.java;"java:S1192:  ""Define a constant instead of duplicating this literal Obtained unchecked Exception; this code should never be reached 3 times.""";CRITICAL;8;2023-10-29;2023-10-29;3;"startLine: 179;startOffset: 47;endOffset: 112;endLine: 179";Maintenance (Code Smells);917296f
AYqiDz66882CViJqbmUo;To-Do;New;Normal;Claudia Stefanizzi;CiEmmeModelli_CiEmme:testenrichers/resource/src/main/java/org/jboss/arquillian/testenricher/resource/SecurityActions.java;"java:S112:  ""Define and throw a dedicated exception instead of using a generic one.""";MAJOR;20;2023-10-29;2023-10-29;3;"startLine: 223;startOffset: 30;endOffset: 46;endLine: 223";Maintenance (Code Smells);a102116
AYqiDz66882CViJqbmUr;To-Do;New;Normal;Claudia Stefanizzi;CiEmmeModelli_CiEmme:testenrichers/resource/src/main/java/org/jboss/arquillian/testenricher/resource/SecurityActions.java;"java:S1488:  ""Immediately return this expression instead of assigning it to the temporary variable declaredAccessableFields.""";MINOR;2;2023-10-29;2023-10-29;4;"startLine: 231;startOffset: 47;endOffset: 10;endLine: 248";Maintenance (Code Smells);51e500d
AYqiDz66882CViJqbmUs;To-Do;New;Normal;Claudia Stefanizzi;CiEmmeModelli_CiEmme:testenrichers/resource/src/main/java/org/jboss/arquillian/testenricher/resource/SecurityActions.java;"java:S1488:  ""Immediately return this expression instead of assigning it to the temporary variable declaredAccessableMethods.""";MINOR;2;2023-10-29;2023-10-29;2;"startLine: 254;startOffset: 49;endOffset: 10;endLine: 271";Maintenance (Code Smells);596fcc1
AYqiDz66882CViJqbmUt;To-Do;New;Normal;Claudia Stefanizzi;CiEmmeModelli_CiEmme:testenrichers/resource/src/main/java/org/jboss/arquillian/testenricher/resource/SecurityActions.java;"java:S1488:  ""Immediately return this expression instead of assigning it to the temporary variable value.""";MINOR;2;2023-10-29;2023-10-29;2;"startLine: 277;startOffset: 27;endOffset: 14;endLine: 281";Maintenance (Code Smells);ba25a19
AYqiDz66882CViJqbmUp;To-Do;New;Normal;Claudia Stefanizzi;CiEmmeModelli_CiEmme:testenrichers/resource/src/main/java/org/jboss/arquillian/testenricher/resource/SecurityActions.java;"java:S112:  ""Define and throw a dedicated exception instead of using a generic one.""";MAJOR;20;2023-10-29;2023-10-29;3;"startLine: 302;startOffset: 30;endOffset: 46;endLine: 302";Maintenance (Code Smells);3f3ec7e
AYqiDz66882CViJqbmUu;To-Do;New;Normal;Claudia Stefanizzi;CiEmmeModelli_CiEmme:testenrichers/resource/src/main/java/org/jboss/arquillian/testenricher/resource/SecurityActions.java;"java:S6548:  ""An Enum-based Singleton implementation was detected. Make sure the use of the Singleton pattern is required and an Enum-based implementation is the right one for the context.""";INFO;0;2023-10-29;2023-10-29;1;"startLine: 327;startOffset: 17;endOffset: 30;endLine: 327";Maintenance (Code Smells);0149ab9
