Key;Tracker;Status;Priority;Owner;Filepath;Subject;Category;Estimated time [min];Start date;End date;Time spent [min];Description;Caratteristica di riferimento;Commit hash
AYqiD0dg882CViJqbmf4;To-Do;New;Normal;Claudia Stefanizzi;CiEmmeModelli_CiEmme:junit/core/src/main/java/org/jboss/arquillian/junit/RulesEnricher.java;"java:S112:  ""Define and throw a dedicated exception instead of using a generic one.""";MAJOR;20;2023-10-17;2023-10-17;7;"startLine: 69;startOffset: 68;endOffset: 77;endLine: 69";Maintenance (Code Smells);7693792
AYqiD0dg882CViJqbmf6;To-Do;New;Normal;Claudia Stefanizzi;CiEmmeModelli_CiEmme:junit/core/src/main/java/org/jboss/arquillian/junit/RulesEnricher.java;"java:S6202:  ""Replace this usage of RunRules.class.isInstance() with instanceof RunRules.""";MAJOR;5;2023-10-17;2023-10-17;3;"startLine: 72;startOffset: 12;endOffset: 67;endLine: 72";Maintenance (Code Smells);1d340fd
AYqiD0dg882CViJqbmf5;To-Do;New;Normal;Claudia Stefanizzi;CiEmmeModelli_CiEmme:junit/core/src/main/java/org/jboss/arquillian/junit/RulesEnricher.java;"java:S112:  ""Define and throw a dedicated exception instead of using a generic one.""";MAJOR;20;2023-10-17;2023-10-17;5;"startLine: 94;startOffset: 70;endOffset: 79;endLine: 94";Maintenance (Code Smells);5a37a75
AYqiD0dg882CViJqbmf7;To-Do;New;Normal;Claudia Stefanizzi;CiEmmeModelli_CiEmme:junit/core/src/main/java/org/jboss/arquillian/junit/RulesEnricher.java;"java:S1168:  ""Return an empty collection instead of null.""";MAJOR;30;2023-10-17;2023-10-17;5;"startLine: 104;startOffset: 23;endOffset: 27;endLine: 104";Maintenance (Code Smells);7488f5d
AYqiD0dg882CViJqbmf8;To-Do;New;Normal;Claudia Stefanizzi;CiEmmeModelli_CiEmme:junit/core/src/main/java/org/jboss/arquillian/junit/RulesEnricher.java;"java:S6202:  ""Replace this usage of MethodRule.class.isInstance() with instanceof MethodRule.""";MAJOR;5;2023-10-17;2023-10-17;3;"startLine: 126;startOffset: 15;endOffset: 52;endLine: 126";Maintenance (Code Smells);d6065a4
AYqiD0dg882CViJqbmf9;To-Do;New;Normal;Claudia Stefanizzi;CiEmmeModelli_CiEmme:junit/core/src/main/java/org/jboss/arquillian/junit/RulesEnricher.java;"java:S6202:  ""Replace this usage of TestRule.class.isInstance() with instanceof TestRule.""";MAJOR;5;2023-10-17;2023-10-17;3;"startLine: 126;startOffset: 56;endOffset: 91;endLine: 126";Maintenance (Code Smells);1b2f55a
