Key;Tracker;Status;Priority;Owner;Filepath;Subject;Category;Estimated time [min];Start date;End date;Time spent [min];Description;Caratteristica di riferimento;Commit hash
AYqiD0DS882CViJqbmXz;To-Do;New;Normal;Claudia Stefanizzi;CiEmmeModelli_CiEmme:container/test-impl-base/src/test/java/org/jboss/arquillian/container/test/impl/client/deployment/DeploymentGeneratorTestCase.java;"java:S6068:  ""Remove this useless eq(...) invocation; pass the values directly.""";MINOR;2;2023-10-10;2023-10-10;1;"startLine: 111;startOffset: 35;endOffset: 37;endLine: 111";Maintenance (Code Smells);8c319bd
AYqiD0DS882CViJqbmX0;To-Do;New;Normal;Claudia Stefanizzi;CiEmmeModelli_CiEmme:container/test-impl-base/src/test/java/org/jboss/arquillian/container/test/impl/client/deployment/DeploymentGeneratorTestCase.java;"java:S6068:  ""Remove this useless eq(...) invocation; pass the values directly.""";MINOR;2;2023-10-10;2023-10-10;1;"startLine: 114;startOffset: 31;endOffset: 33;endLine: 114";Maintenance (Code Smells);bc4409d
AYqiD0DS882CViJqbmX1;To-Do;New;Normal;Claudia Stefanizzi;CiEmmeModelli_CiEmme:container/test-impl-base/src/test/java/org/jboss/arquillian/container/test/impl/client/deployment/DeploymentGeneratorTestCase.java;"java:S6068:  ""Remove this useless eq(...) invocation; pass the values directly.""";MINOR;2;2023-10-10;2023-10-10;1;"startLine: 116;startOffset: 31;endOffset: 33;endLine: 116";Maintenance (Code Smells);3456278
AYqiD0DS882CViJqbmX2;To-Do;New;Normal;Claudia Stefanizzi;CiEmmeModelli_CiEmme:container/test-impl-base/src/test/java/org/jboss/arquillian/container/test/impl/client/deployment/DeploymentGeneratorTestCase.java;"java:S6068:  ""Remove this useless eq(...) invocation; pass the values directly.""";MINOR;2;2023-10-10;2023-10-10;1;"startLine: 118;startOffset: 31;endOffset: 33;endLine: 118";Maintenance (Code Smells);db867bd
AYqiD0DS882CViJqbmX3;To-Do;New;Normal;Claudia Stefanizzi;CiEmmeModelli_CiEmme:container/test-impl-base/src/test/java/org/jboss/arquillian/container/test/impl/client/deployment/DeploymentGeneratorTestCase.java;"java:S6068:  ""Remove this useless eq(...) invocation; pass the values directly.""";MINOR;2;2023-10-10;2023-10-10;1;"startLine: 224;startOffset: 31;endOffset: 33;endLine: 224";Maintenance (Code Smells);6ec3c63
AYqiD0DT882CViJqbmX4;To-Do;New;Normal;Claudia Stefanizzi;CiEmmeModelli_CiEmme:container/test-impl-base/src/test/java/org/jboss/arquillian/container/test/impl/client/deployment/DeploymentGeneratorTestCase.java;"java:S5777:  ""Move assertions into separate method or use assertThrows or try-catch instead.""";MINOR;5;2023-10-10;2023-10-10;3;"startLine: 245;startOffset: 10;endOffset: 46;endLine: 245";Maintenance (Code Smells);73eff82
AYqiD0DT882CViJqbmX5;To-Do;New;Normal;Claudia Stefanizzi;CiEmmeModelli_CiEmme:container/test-impl-base/src/test/java/org/jboss/arquillian/container/test/impl/client/deployment/DeploymentGeneratorTestCase.java;"java:S5777:  ""Move assertions into separate method or use assertThrows or try-catch instead.""";MINOR;5;2023-10-10;2023-10-10;3;"startLine: 256;startOffset: 10;endOffset: 46;endLine: 256";Maintenance (Code Smells);810bfd1
AYqiD0DT882CViJqbmX6;To-Do;New;Normal;Claudia Stefanizzi;CiEmmeModelli_CiEmme:container/test-impl-base/src/test/java/org/jboss/arquillian/container/test/impl/client/deployment/DeploymentGeneratorTestCase.java;"java:S5777:  ""Move assertions into separate method or use assertThrows or try-catch instead.""";MINOR;5;2023-10-10;2023-10-10;3;"startLine: 268;startOffset: 10;endOffset: 46;endLine: 268";Maintenance (Code Smells);a52fbf7
AYqiD0DT882CViJqbmX7;To-Do;New;Normal;Claudia Stefanizzi;CiEmmeModelli_CiEmme:container/test-impl-base/src/test/java/org/jboss/arquillian/container/test/impl/client/deployment/DeploymentGeneratorTestCase.java;"java:S5777:  ""Move assertions into separate method or use assertThrows or try-catch instead.""";MINOR;5;2023-10-10;2023-10-10;3;"startLine: 300;startOffset: 10;endOffset: 46;endLine: 300";Maintenance (Code Smells);4531240
