Key;Tracker;Status;Priority;Owner;Filepath;Subject;Category;Estimated time [min];Start date;End date;Time spent [min];Description;Caratteristica di riferimento;Commit hash
AYqiD0Nu882CViJqbmbG;To-Do;New;Normal;Claudia Stefanizzi;CiEmmeModelli_CiEmme:test/spi/src/main/java/org/jboss/arquillian/test/spi/SecurityActions.java;"java:S112:  ""Define and throw a dedicated exception instead of using a generic one.""";MAJOR;20;2023-10-22;2023-10-22;5;"startLine: 77;startOffset: 26;endOffset: 42;endLine: 77";Maintenance (Code Smells);63fc174
AYqiD0Nu882CViJqbmbH;To-Do;New;Normal;Claudia Stefanizzi;CiEmmeModelli_CiEmme:test/spi/src/main/java/org/jboss/arquillian/test/spi/SecurityActions.java;"java:S112:  ""Define and throw a dedicated exception instead of using a generic one.""";MAJOR;20;2023-10-22;2023-10-22;4;"startLine: 87;startOffset: 22;endOffset: 38;endLine: 87";Maintenance (Code Smells);f53dbf3
AYqiD0Nu882CViJqbmbI;To-Do;New;Normal;Claudia Stefanizzi;CiEmmeModelli_CiEmme:test/spi/src/main/java/org/jboss/arquillian/test/spi/SecurityActions.java;"java:S112:  ""Define and throw a dedicated exception instead of using a generic one.""";MAJOR;20;2023-10-22;2023-10-22;3;"startLine: 98;startOffset: 22;endOffset: 38;endLine: 98";Maintenance (Code Smells);e804073
AYqiD0Nu882CViJqbmbJ;To-Do;New;Normal;Claudia Stefanizzi;CiEmmeModelli_CiEmme:test/spi/src/main/java/org/jboss/arquillian/test/spi/SecurityActions.java;"java:S112:  ""Define and throw a dedicated exception instead of using a generic one.""";MAJOR;20;2023-10-22;2023-10-22;4;"startLine: 104;startOffset: 22;endOffset: 38;endLine: 104";Maintenance (Code Smells);11f32b5
AYqiD0Nu882CViJqbmbK;To-Do;New;Normal;Claudia Stefanizzi;CiEmmeModelli_CiEmme:test/spi/src/main/java/org/jboss/arquillian/test/spi/SecurityActions.java;"java:S112:  ""Define and throw a dedicated exception instead of using a generic one.""";MAJOR;20;2023-10-22;2023-10-22;3;"startLine: 146;startOffset: 22;endOffset: 38;endLine: 146";Maintenance (Code Smells);022ff8a
AYqiD0Nu882CViJqbmbL;To-Do;New;Normal;Claudia Stefanizzi;CiEmmeModelli_CiEmme:test/spi/src/main/java/org/jboss/arquillian/test/spi/SecurityActions.java;"java:S112:  ""Define and throw a dedicated exception instead of using a generic one.""";MAJOR;20;2023-10-22;2023-10-22;4;"startLine: 179;startOffset: 30;endOffset: 46;endLine: 179";Maintenance (Code Smells);6a602ea
AYqiD0Nu882CViJqbmbO;To-Do;New;Normal;Claudia Stefanizzi;CiEmmeModelli_CiEmme:test/spi/src/main/java/org/jboss/arquillian/test/spi/SecurityActions.java;"java:S1192:  ""Define a constant instead of duplicating this literal Obtained unchecked Exception; this code should never be reached 3 times.""";CRITICAL;8;2023-10-22;2023-10-22;6;"startLine: 179;startOffset: 47;endOffset: 112;endLine: 179";Maintenance (Code Smells);cb3fe8f
AYqiD0Nu882CViJqbmbM;To-Do;New;Normal;Claudia Stefanizzi;CiEmmeModelli_CiEmme:test/spi/src/main/java/org/jboss/arquillian/test/spi/SecurityActions.java;"java:S112:  ""Define and throw a dedicated exception instead of using a generic one.""";MAJOR;20;2023-10-22;2023-10-22;5;"startLine: 223;startOffset: 30;endOffset: 46;endLine: 223";Maintenance (Code Smells);199c5b1
AYqiD0Nu882CViJqbmbP;To-Do;New;Normal;Claudia Stefanizzi;CiEmmeModelli_CiEmme:test/spi/src/main/java/org/jboss/arquillian/test/spi/SecurityActions.java;"java:S1488:  ""Immediately return this expression instead of assigning it to the temporary variable declaredAccessableFields.""";MINOR;2;2023-10-22;2023-10-22;2;"startLine: 231;startOffset: 47;endOffset: 10;endLine: 248";Maintenance (Code Smells);1ed222f
AYqiD0Nu882CViJqbmbQ;To-Do;New;Normal;Claudia Stefanizzi;CiEmmeModelli_CiEmme:test/spi/src/main/java/org/jboss/arquillian/test/spi/SecurityActions.java;"java:S1488:  ""Immediately return this expression instead of assigning it to the temporary variable declaredAccessableMethods.""";MINOR;2;2023-10-22;2023-10-22;2;"startLine: 254;startOffset: 49;endOffset: 10;endLine: 271";Maintenance (Code Smells);855235b
AYqiD0Nu882CViJqbmbR;To-Do;New;Normal;Claudia Stefanizzi;CiEmmeModelli_CiEmme:test/spi/src/main/java/org/jboss/arquillian/test/spi/SecurityActions.java;"java:S1488:  ""Immediately return this expression instead of assigning it to the temporary variable value.""";MINOR;2;2023-10-22;2023-10-22;2;"startLine: 277;startOffset: 27;endOffset: 14;endLine: 281";Maintenance (Code Smells);389520f
AYqiD0Nu882CViJqbmbN;To-Do;New;Normal;Claudia Stefanizzi;CiEmmeModelli_CiEmme:test/spi/src/main/java/org/jboss/arquillian/test/spi/SecurityActions.java;"java:S112:  ""Define and throw a dedicated exception instead of using a generic one.""";MAJOR;20;2023-10-22;2023-10-22;5;"startLine: 302;startOffset: 30;endOffset: 46;endLine: 302";Maintenance (Code Smells);0988bf2
AYqiD0Nu882CViJqbmbS;To-Do;New;Normal;Claudia Stefanizzi;CiEmmeModelli_CiEmme:test/spi/src/main/java/org/jboss/arquillian/test/spi/SecurityActions.java;"java:S6548:  ""An Enum-based Singleton implementation was detected. Make sure the use of the Singleton pattern is required and an Enum-based implementation is the right one for the context.""";INFO;0;2023-10-22;2023-10-22;3;"startLine: 327;startOffset: 17;endOffset: 30;endLine: 327";Maintenance (Code Smells);140b913
