Key;Tracker;Status;Priority;Owner;Filepath;Subject;Category;Estimated time [min];Start date;End date;Time spent [min];Description;Caratteristica di riferimento;Commit hash
AYqiDz_Z882CViJqbmWV;To-Do;New;Normal;Claudia Stefanizzi;CiEmmeModelli_CiEmme:container/test-impl-base/src/main/java/org/jboss/arquillian/container/test/impl/client/deployment/AnnotationDeploymentScenarioGenerator.java;"java:S1192:  ""Define a constant instead of duplicating this literal Method annotated with  3 times.""";CRITICAL;8;2023-10-09;2023-10-09;2;"startLine: 59;startOffset: 16;endOffset: 40;endLine: 59";Maintenance (Code Smells);9646c96
AYqiDz_Z882CViJqbmWY;To-Do;New;Normal;Claudia Stefanizzi;CiEmmeModelli_CiEmme:container/test-impl-base/src/main/java/org/jboss/arquillian/container/test/impl/client/deployment/AnnotationDeploymentScenarioGenerator.java;"java:S2259:  ""A NullPointerException could be thrown; deploymentContentBuilder is nullable here.""";MAJOR;10;2023-10-09;2023-10-09;7;"startLine: 97;startOffset: 12;endOffset: 53;endLine: 97";Reliability (Bugs);6779033
AYqiDz_Z882CViJqbmWW;To-Do;New;Normal;Claudia Stefanizzi;CiEmmeModelli_CiEmme:container/test-impl-base/src/main/java/org/jboss/arquillian/container/test/impl/client/deployment/AnnotationDeploymentScenarioGenerator.java;"java:S2259:  ""A NullPointerException could be thrown; deploymentContentBuilder is nullable here.""";MAJOR;10;2023-10-09;2023-10-09;7;"startLine: 101;startOffset: 12;endOffset: 57;endLine: 101";Reliability (Bugs);2daaa66
AYqiDz_Z882CViJqbmWX;To-Do;New;Normal;Claudia Stefanizzi;CiEmmeModelli_CiEmme:container/test-impl-base/src/main/java/org/jboss/arquillian/container/test/impl/client/deployment/AnnotationDeploymentScenarioGenerator.java;"java:S2259:  ""A NullPointerException could be thrown; deploymentContentBuilder is nullable here.""";MAJOR;10;2023-10-09;2023-10-09;7;"startLine: 106;startOffset: 12;endOffset: 61;endLine: 106";Reliability (Bugs);e04a35a
AYqiDz_Z882CViJqbmWZ;To-Do;New;Normal;Claudia Stefanizzi;CiEmmeModelli_CiEmme:container/test-impl-base/src/main/java/org/jboss/arquillian/container/test/impl/client/deployment/AnnotationDeploymentScenarioGenerator.java;"java:S2259:  ""A NullPointerException could be thrown; deploymentContentBuilder is nullable here.""";MAJOR;10;2023-10-09;2023-10-09;7;"startLine: 109;startOffset: 35;endOffset: 74;endLine: 109";Reliability (Bugs);7a056b5
AYqiDz_Z882CViJqbmWU;To-Do;New;Normal;Claudia Stefanizzi;CiEmmeModelli_CiEmme:container/test-impl-base/src/main/java/org/jboss/arquillian/container/test/impl/client/deployment/AnnotationDeploymentScenarioGenerator.java;"java:S112:  ""Define and throw a dedicated exception instead of using a generic one.""";MAJOR;20;2023-10-09;2023-10-09;8;"startLine: 128;startOffset: 22;endOffset: 38;endLine: 128";Maintenance (Code Smells);46f53e5
