Key;Tracker;Status;Priority;Owner;Filepath;Subject;Category;Estimated time [min];Start date;End date;Time spent [min];Description;Caratteristica di riferimento;Commit hash
AYqiD0Vm882CViJqbmdx;To-Do;New;Normal;Matteo Scuro;CiEmmeModelli_CiEmme:config/impl-base/src/main/java/org/jboss/arquillian/config/impl/extension/ClasspathPropertyResolver.java;"java:S2629:  ""Invoke method(s) only conditionally.""";MAJOR;5;2023/10/7;2023/10/7;5;"startLine: 23;startOffset: 31;endOffset: 150;endLine: 23";Maintenance (Code Smells);29ead3b
AYqiD0U9882CViJqbmdW;To-Do;New;Normal;Matteo Scuro;CiEmmeModelli_CiEmme:config/impl-base/src/main/java/org/jboss/arquillian/config/impl/extension/PropertiesParser.java;"java:S1192:  ""Define a constant instead of duplicating this literal default 3 times.""";CRITICAL;8;2023/10/7;2023/10/7;1;"startLine: 160;startOffset: 16;endOffset: 25;endLine: 160";Maintenance (Code Smells);ebd222b
