Key;Tracker;Status;Priority;Owner;Filepath;Subject;Category;Estimated time [min];Start date;End date;Time spent [min];Description;Caratteristica di riferimento;Commit hash
AYqiD0X4882CViJqbmeG;To-Do;New;Normal;Matteo Scuro;CiEmmeModelli_CiEmme:junit/container/src/main/java/org/jboss/arquillian/junit/container/JUnitTestRunner.java;"java:S1116:  ""Remove this empty statement.""";MINOR;2;2023/10/20;2023/10/20;0;"startLine: 95;startOffset: 12;endOffset: 13;endLine: 95";Maintenance (Code Smells);109b3d7
AYqiD0X4882CViJqbmeE;To-Do;New;Normal;Matteo Scuro;CiEmmeModelli_CiEmme:junit/container/src/main/java/org/jboss/arquillian/junit/container/JUnitTestRunner.java;"java:S1066:  ""Merge this if statement with the enclosing one.""";MAJOR;5;2023/10/20;2023/10/20;1;"startLine: 108;startOffset: 16;endOffset: 18;endLine: 108";Maintenance (Code Smells);080b0a5
AYqiD0X4882CViJqbmeF;To-Do;New;Normal;Matteo Scuro;CiEmmeModelli_CiEmme:junit/container/src/main/java/org/jboss/arquillian/junit/container/JUnitTestRunner.java;"java:S1066:  ""Merge this if statement with the enclosing one.""";MAJOR;5;2023/10/20;2023/10/20;1;"startLine: 118;startOffset: 16;endOffset: 18;endLine: 118";Maintenance (Code Smells);6f0d20c
