Key;Tracker;Status;Priority;Owner;Filepath;Subject;Category;Estimated time [min];Start date;End date;Time spent [min];Description;Caratteristica di riferimento;Commit hash
AYqiD0SF882CViJqbmcY;To-Do;New;Normal;Matteo Scuro;CiEmmeModelli_CiEmme:protocols/servlet/src/main/java/org/jboss/arquillian/protocol/servlet/runner/SecurityActions.java;"java:S112:  ""Define and throw a dedicated exception instead of using a generic one.""";MAJOR;20;2023/10/29;2023/10/29;1;"startLine: 77;startOffset: 26;endOffset: 42;endLine: 77";Maintenance (Code Smells);8f28bd5
AYqiD0SF882CViJqbmcZ;To-Do;New;Normal;Matteo Scuro;CiEmmeModelli_CiEmme:protocols/servlet/src/main/java/org/jboss/arquillian/protocol/servlet/runner/SecurityActions.java;"java:S112:  ""Define and throw a dedicated exception instead of using a generic one.""";MAJOR;20;2023/10/29;2023/10/29;1;"startLine: 87;startOffset: 22;endOffset: 38;endLine: 87";Maintenance (Code Smells);9a3e872
AYqiD0SF882CViJqbmca;To-Do;New;Normal;Matteo Scuro;CiEmmeModelli_CiEmme:protocols/servlet/src/main/java/org/jboss/arquillian/protocol/servlet/runner/SecurityActions.java;"java:S112:  ""Define and throw a dedicated exception instead of using a generic one.""";MAJOR;20;2023/10/29;2023/10/29;1;"startLine: 98;startOffset: 22;endOffset: 38;endLine: 98";Maintenance (Code Smells);1246b51
AYqiD0SF882CViJqbmcb;To-Do;New;Normal;Matteo Scuro;CiEmmeModelli_CiEmme:protocols/servlet/src/main/java/org/jboss/arquillian/protocol/servlet/runner/SecurityActions.java;"java:S112:  ""Define and throw a dedicated exception instead of using a generic one.""";MAJOR;20;2023/10/29;2023/10/29;1;"startLine: 104;startOffset: 22;endOffset: 38;endLine: 104";Maintenance (Code Smells);793e137
AYqiD0SF882CViJqbmcc;To-Do;New;Normal;Matteo Scuro;CiEmmeModelli_CiEmme:protocols/servlet/src/main/java/org/jboss/arquillian/protocol/servlet/runner/SecurityActions.java;"java:S112:  ""Define and throw a dedicated exception instead of using a generic one.""";MAJOR;20;2023/10/29;2023/10/29;1;"startLine: 146;startOffset: 22;endOffset: 38;endLine: 146";Maintenance (Code Smells);6b199c5
AYqiD0SF882CViJqbmcd;To-Do;New;Normal;Matteo Scuro;CiEmmeModelli_CiEmme:protocols/servlet/src/main/java/org/jboss/arquillian/protocol/servlet/runner/SecurityActions.java;"java:S112:  ""Define and throw a dedicated exception instead of using a generic one.""";MAJOR;20;2023/10/29;2023/10/29;1;"startLine: 179;startOffset: 30;endOffset: 46;endLine: 179";Maintenance (Code Smells);61c1411
AYqiD0SF882CViJqbmce;To-Do;New;Normal;Matteo Scuro;CiEmmeModelli_CiEmme:protocols/servlet/src/main/java/org/jboss/arquillian/protocol/servlet/runner/SecurityActions.java;"java:S1192:  ""Define a constant instead of duplicating this literal Obtained unchecked Exception; this code should never be reached 3 times.""";CRITICAL;8;2023/10/29;2023/10/29;1;"startLine: 179;startOffset: 47;endOffset: 112;endLine: 179";Maintenance (Code Smells);364d596
AYqiD0SF882CViJqbmcg;To-Do;New;Normal;Matteo Scuro;CiEmmeModelli_CiEmme:protocols/servlet/src/main/java/org/jboss/arquillian/protocol/servlet/runner/SecurityActions.java;"java:S112:  ""Define and throw a dedicated exception instead of using a generic one.""";MAJOR;20;2023/10/29;2023/10/29;1;"startLine: 223;startOffset: 30;endOffset: 46;endLine: 223";Maintenance (Code Smells);17414f2
AYqiD0SF882CViJqbmch;To-Do;New;Normal;Matteo Scuro;CiEmmeModelli_CiEmme:protocols/servlet/src/main/java/org/jboss/arquillian/protocol/servlet/runner/SecurityActions.java;"java:S1488:  ""Immediately return this expression instead of assigning it to the temporary variable declaredAccessableFields.""";MINOR;2;2023/10/29;2023/10/29;1;"startLine: 231;startOffset: 47;endOffset: 10;endLine: 248";Maintenance (Code Smells);4da7192
AYqiD0SF882CViJqbmci;To-Do;New;Normal;Matteo Scuro;CiEmmeModelli_CiEmme:protocols/servlet/src/main/java/org/jboss/arquillian/protocol/servlet/runner/SecurityActions.java;"java:S1488:  ""Immediately return this expression instead of assigning it to the temporary variable declaredAccessableMethods.""";MINOR;2;2023/10/29;2023/10/29;1;"startLine: 254;startOffset: 49;endOffset: 10;endLine: 271";Maintenance (Code Smells);a6eaffa
AYqiD0SF882CViJqbmcj;To-Do;New;Normal;Matteo Scuro;CiEmmeModelli_CiEmme:protocols/servlet/src/main/java/org/jboss/arquillian/protocol/servlet/runner/SecurityActions.java;"java:S1488:  ""Immediately return this expression instead of assigning it to the temporary variable value.""";MINOR;2;2023/10/29;2023/10/29;1;"startLine: 277;startOffset: 27;endOffset: 14;endLine: 281";Maintenance (Code Smells);714f856
AYqiD0SF882CViJqbmcf;To-Do;New;Normal;Matteo Scuro;CiEmmeModelli_CiEmme:protocols/servlet/src/main/java/org/jboss/arquillian/protocol/servlet/runner/SecurityActions.java;"java:S112:  ""Define and throw a dedicated exception instead of using a generic one.""";MAJOR;20;2023/10/29;2023/10/29;1;"startLine: 302;startOffset: 30;endOffset: 46;endLine: 302";Maintenance (Code Smells);d32ee86
AYqiD0SF882CViJqbmck;To-Do;New;Normal;Matteo Scuro;CiEmmeModelli_CiEmme:protocols/servlet/src/main/java/org/jboss/arquillian/protocol/servlet/runner/SecurityActions.java;"java:S6548:  ""An Enum-based Singleton implementation was detected. Make sure the use of the Singleton pattern is required and an Enum-based implementation is the right one for the context.""";INFO;0;2023/10/29;2023/10/29;1;"startLine: 327;startOffset: 17;endOffset: 30;endLine: 327";Maintenance (Code Smells);a18c484
