Key;Tracker;Status;Priority;Owner;Filepath;Subject;Category;Estimated time [min];Start date;End date;Time spent [min];Description;Caratteristica di riferimento;Commit hash
AYqiD0E7882CViJqbmYm;To-Do;New;Normal;Matteo Scuro;CiEmmeModelli_CiEmme:container/impl-base/src/main/java/org/jboss/arquillian/container/impl/client/container/ContainerDeployController.java;"java:S112:  ""Define and throw a dedicated exception instead of using a generic one.""";MAJOR;20;2023/10/5;2023/10/5;16;"startLine: 76;startOffset: 79;endOffset: 88;endLine: 76";Maintenance (Code Smells);1ac9381
AYqiD0E7882CViJqbmYr;To-Do;New;Normal;Matteo Scuro;CiEmmeModelli_CiEmme:container/impl-base/src/main/java/org/jboss/arquillian/container/impl/client/container/ContainerDeployController.java;"java:S1172:  ""Remove this unused method parameter event.""";MAJOR;5;2023/10/5;2023/10/5;1;"startLine: 76;startOffset: 65;endOffset: 70;endLine: 76";Maintenance (Code Smells);bf2cb9d
AYqiD0E7882CViJqbmYn;To-Do;New;Normal;Matteo Scuro;CiEmmeModelli_CiEmme:container/impl-base/src/main/java/org/jboss/arquillian/container/impl/client/container/ContainerDeployController.java;"java:S112:  ""Define and throw a dedicated exception instead of using a generic one.""";MAJOR;20;2023/10/5;2023/10/5;2;"startLine: 103;startOffset: 83;endOffset: 92;endLine: 103";Maintenance (Code Smells);bb5be25
AYqiD0E7882CViJqbmYs;To-Do;New;Normal;Matteo Scuro;CiEmmeModelli_CiEmme:container/impl-base/src/main/java/org/jboss/arquillian/container/impl/client/container/ContainerDeployController.java;"java:S1172:  ""Remove this unused method parameter event.""";MAJOR;5;2023/10/5;2023/10/5;1;"startLine: 103;startOffset: 69;endOffset: 74;endLine: 103";Maintenance (Code Smells);7cea601
AYqiD0E7882CViJqbmYo;To-Do;New;Normal;Matteo Scuro;CiEmmeModelli_CiEmme:container/impl-base/src/main/java/org/jboss/arquillian/container/impl/client/container/ContainerDeployController.java;"java:S112:  ""Define and throw a dedicated exception instead of using a generic one.""";MAJOR;20;2023/10/5;2023/10/5;20;"startLine: 117;startOffset: 70;endOffset: 79;endLine: 117";Maintenance (Code Smells);24fa8ec
AYqiD0E7882CViJqbmYt;To-Do;New;Normal;Matteo Scuro;CiEmmeModelli_CiEmme:container/impl-base/src/main/java/org/jboss/arquillian/container/impl/client/container/ContainerDeployController.java;"java:S1135:  ""Complete the task associated to this TODO comment.""";INFO;0;2023/10/5;2023/10/5;0;"startLine: 141;startOffset: 0;endOffset: 101;endLine: 141";Maintenance (Code Smells);dda120f
AYqiD0E7882CViJqbmYp;To-Do;New;Normal;Matteo Scuro;CiEmmeModelli_CiEmme:container/impl-base/src/main/java/org/jboss/arquillian/container/impl/client/container/ContainerDeployController.java;"java:S112:  ""Define and throw a dedicated exception instead of using a generic one.""";MAJOR;20;2023/10/5;2023/10/5;1;"startLine: 169;startOffset: 74;endOffset: 83;endLine: 169";Maintenance (Code Smells);5b198d0
AYqiD0E7882CViJqbmYu;To-Do;New;Normal;Matteo Scuro;CiEmmeModelli_CiEmme:container/impl-base/src/main/java/org/jboss/arquillian/container/impl/client/container/ContainerDeployController.java;"java:S1117:  ""Rename containerRegistry which hides the field declared at line 62.""";MAJOR;5;2023/10/5;2023/10/5;1;"startLine: 226;startOffset: 26;endOffset: 43;endLine: 226";Maintenance (Code Smells);0b23bb0
AYqiD0E7882CViJqbmYq;To-Do;New;Normal;Matteo Scuro;CiEmmeModelli_CiEmme:container/impl-base/src/main/java/org/jboss/arquillian/container/impl/client/container/ContainerDeployController.java;"java:S112:  ""Define and throw a dedicated exception instead of using a generic one.""";MAJOR;20;2023/10/5;2023/10/5;10;"startLine: 243;startOffset: 55;endOffset: 64;endLine: 243";Maintenance (Code Smells);fc9dfa1
