Key;Tracker;Status;Priority;Owner;Filepath;Subject;Category;Estimated time [min];Start date;End date;Time spent [min];Description;Caratteristica di riferimento;Commit hash
AYqiD0Vm882CViJqbmdy;To-Do;New;Normal;Claudia Stefanizzi;CiEmmeModelli_CiEmme:config/impl-base/src/main/java/org/jboss/arquillian/config/impl/extension/ClasspathPropertyResolver.java;"java:S3416:  ""Update this logger to use ClasspathPropertyResolver.class.""";MINOR;5;02/10/23;02/10/23;4;"startLine: 8;startOffset: 58;endOffset: 115;endLine: 8";Maintenance (Code Smells);b2642ae
AYqiD0Vm882CViJqbmdz;To-Do;New;Normal;Claudia Stefanizzi;CiEmmeModelli_CiEmme:config/impl-base/src/main/java/org/jboss/arquillian/config/impl/extension/ClasspathPropertyResolver.java;"java:S1124:  ""Reorder the modifiers to comply with the Java Language Specification.""";MINOR;2;02/10/23;02/10/23;2;"startLine: 8;startOffset: 18;endOffset: 24;endLine: 8";Maintenance (Code Smells);88ff696
AYqiD0Vm882CViJqbmdx;To-Do;New;Normal;Claudia Stefanizzi;CiEmmeModelli_CiEmme:config/impl-base/src/main/java/org/jboss/arquillian/config/impl/extension/ClasspathPropertyResolver.java;"java:S2629:  ""Invoke method(s) only conditionally.""";MAJOR;5;02/10/23;02/10/23;4;"startLine: 24;startOffset: 31;endOffset: 150;endLine: 24";Maintenance (Code Smells);1fac86a
