Key;Tracker;Status;Priority;Owner;Filepath;Subject;Category;Estimated time [min];Start date;End date;Time spent [min];Description;Caratteristica di riferimento;Commit hash
AYqiD0Zo882CViJqbmeb;To-Do;New;Normal;Claudia Stefanizzi;CiEmmeModelli_CiEmme:junit/core/src/test/java/org/jboss/arquillian/junit/ClassWithArquillianClassAndMethodRuleWithAssume.java;"java:S3577:  ""Rename class ClassWithArquillianClassAndMethodRuleWithAssume to match the regular expression: '^((Test|IT)[a-zA-Z0-9_]+|[A-Z][a-zA-Z0-9_]*(Test|Tests|TestCase|IT|ITCase))$'""";MINOR;5;2023-10-20;2023-10-20;2;"startLine: 15;startOffset: 13;endOffset: 60;endLine: 15";Maintenance (Code Smells);4f4a5ef
AYqiD0Zo882CViJqbmea;To-Do;New;Normal;Claudia Stefanizzi;CiEmmeModelli_CiEmme:junit/core/src/test/java/org/jboss/arquillian/junit/ClassWithArquillianClassAndMethodRuleWithAssume.java;"java:S2699:  ""Add at least one assertion to this test case.""";BLOCKER;10;2023-10-20;2023-10-20;3;"startLine: 44;startOffset: 16;endOffset: 31;endLine: 44";Maintenance (Code Smells);5ecb453
AYqiD0Zo882CViJqbmec;To-Do;New;Normal;Claudia Stefanizzi;CiEmmeModelli_CiEmme:junit/core/src/test/java/org/jboss/arquillian/junit/ClassWithArquillianClassAndMethodRuleWithAssume.java;"java:S1607:  ""This assumption is called with a boolean constant; remove it or to skip this test use an @Ignore/@Disabled annotation in combination with an explanation about why it is skipped.""";MAJOR;10;2023-10-20;2023-10-20;8;"startLine: 46;startOffset: 15;endOffset: 25;endLine: 46";Maintenance (Code Smells);8ade152
